<BEGIN>;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;AMADOR AGUIAR II;0.009108;1;2;0.57;527.3599;0.11044;-0.00018921;1.93E-07;-7.45E-11;517.2;0.004539598;-2.47E-06;1.06E-09;-1.87E-13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2701.4;17;17;5;100
290;ESPORA;0.008731;1;2;5.2;559.1338;0.399645;-0.00278485;9.26E-06;-1.15E-08;527.012;0.06703508;-0.000407539;9.41E-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6140;17;17;5;10
262;SALTO;0.008858;1;2;0.65;446.38;0;0;0;0;393.7535;0.009701113;-1.82E-05;2.80E-08;-1.86E-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8762;17;17;5;100
241;SALTO DO RIO VERDINHO;0.008751;1;2;0.58;370.4958;0;0;0;0;326.9963;0.009409822;-1.35E-05;1.20E-08;-3.94E-12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9000;17;17;5;100
311;CAÇU;0.009025;1;2;0.35;454.078;0.175257;-0.000535819;1.18E-06;-1.16E-09;447.8964;0.0041356;-0.0000009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8920;17;17;5;100
312;BARRA DOS COQUEIROS;0.00894;1;2;0.4;418.481;0.17256;-0.000418949;5.91E-07;-3.20E-10;409.4251;0.006416723;-1.12E-05;1.56E-08;-8.51E-12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;500;17;17;5;100
315;FOZ DO RIO CLARO;0.00897;1;2;0.08;353.6147;0;0;0;0;323.9344;0.01268453;-2.28E-05;3.08E-08;-1.73E-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1925;17;17;5;100
1;CAMARGOS;0.008525;1;1;1.2;892.97;0.062089;-0.00011041;1.25E-07;-5.55E-11;886.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;500;17;17;5;100
2;ITUTINGA;0.008634;1;2;0.65;885.6747;0;0;0;0;856.0898;0.007649999;-0.00000545;2.65E-09;-4.60E-13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27400;17;17;5;100
4;FUNIL - GRANDE;0.009011;1;2;0.44;807.9128;0;0;0;0;768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2658;17;17;5;100
7;MASCARENHAS DE MORAES;0.009068;1;2;0.76;641.7749;0.008088168;-3.70E-07;-7.11E-11;9.12E-15;619.2659;0.00173198;-4.89E-08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2499;17;17;5;100
9;JAGUARA;0.008952;1;2;0.51;557.3629;0;0;0;0;510.0298;0.00177;-7.40E-08;1.12E-11;-4.80E-16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2242;17;17;5;100
10;IGARAPAVA;0.009026;1;2;0.3;512.018;0;0;0;0;494.2019;0.000781652;-1.04E-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2230;17;17;5;100
11;VOLTA GRANDE;0.008999;1;2;0.16;494.3291;0;0;0;0;466.01;0.000872;-7.38E-08;6.34E-12;-1.90E-16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7348;17;17;5;100
12;PORTO COLÔMBIA;0.009113;1;2;0.23;466.4394;0;0;0;0;446.0698;0.000189884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10400;17;17;5;100
14;CACONDE;0.008542;1;2;1.08;816.3469;0.19769;-0.00057357;9.69E-07;-6.33E-10;747.211;0.100322;-0.000327461;-1.72E-07;1.73E-09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14500;17;17;5;100
15;E. DA CUNHA;0.008631;1;2;0.86;664.5089;0;0;0;0;572.299;0.0646109;-0.000232398;4.39E-07;-3.12E-10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14300;17;17;5;100
16;A. S. OLIVEIRA;0.009022;1;2;0.46;572.4575;0;0;0;0;545.356;0.0165986;-3.64E-05;5.12E-08;-2.64E-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12700;17;17;5;100
153;SÃO DOMINGOS;0.008947;1;2;0.48;335.495;0.0694226;9.72E-05;-5.68E-07;0;307.9997;0.0265952;-0.0000709;0.0000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16000;17;17;5;100
37;BARRA BONITA;0.00886;1;2;0.38;432.7839;0.0149645;-6.71E-06;1.76E-09;-1.70E-13;427.5408;-0.000805216;3.08E-06;-1.35E-09;1.90E-13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1778;17;17;5;100
38;BARIRI;0.008437;1;2;0.4;427.2907;0;0;0;0;403.9468;0.000480275;1.56E-06;-8.13E-10;1.22E-13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1959;17;17;5;100
39;IBITINGA;0.008543;1;2;0.36;403.8724;0;0;0;0;379.348;0.00225722;1.96E-07;-3.24E-10;5.88E-14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2984;17;17;5;100
40;PROMISSÃO;0.008788;1;2;0.31;369.6938;-0.000524999;1.08E-06;-1.60E-10;7.93E-15;358.0039;-0.000240967;5.60E-07;-1.23E-10;8.03E-15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;931.6;17;17;5;100
42;N.AVANHANDAVA;0.009083;1;2;0.4;357.8237;0;0;0;0;323.085;0.004314847;-2.13E-06;5.68E-10;-5.38E-14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10000;17;17;5;100
119;HENRY BORDEN;0.007939;1;2;15.07;727.3073;0;0;0;0;11.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10000;17;17;5;100
47;JURUMIRIM;0.008862;1;2;1.08;542.5549;0.006367009;-6.75E-07;5.39E-11;-1.90E-15;531.39;0.00404814;-1.40E-06;2.71E-10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10000;17;17;5;100
48;PIRAJU;0.009024;1;2;0.3;531.489;0;0;0;0;503.8101;0.006419127;-5.36E-06;2.69E-09;-5.06E-13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10000;17;17;5;100
249;OURINHOS;0.008694;1;2;0.1;397.9921;0;0;0;0;385.6416;0.003721305;-1.45E-06;5.33E-10;-7.35E-14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10000;17;17;5;100
50;L. N. GARCEZ;0.008606;1;2;0.26;384.2288;0;0;0;0;365.507;0.00204802;-9.79E-08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4530;17;17;5;100
51;CANOAS II;0.009104;1;2;0.17;365.9523;0;0;0;0;350.957;0.00137968;-8.06E-08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4136;17;17;5;100
52;CANOAS I;0.009138;1;2;0.17;350.9629;0;0;0;0;333.377;0.00199413;-5.50E-07;8.25E-11;-4.56E-15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5000;17;17;5;100
57;MAUÁ;0.008893;1;2;1.62;588.6896;0.04018106;-1.41E-05;3.21E-09;-3.02E-13;510.5975;0.009242594;-6.77E-06;3.19E-09;-5.68E-13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5000;17;17;5;100
71;SANTA CLARA - PR;0.008974;1;2;2.27;766.125;0.168866;-0.000312812;3.99E-07;-2.25E-10;705.5;0.00357997;8.09E-06;-1.97E-08;1.22E-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7948;17;17;5;100
72;FUNDÃO;0.008914;1;2;3.29;668.9053;2.781376;-0.1120216;0.0026005;-2.30E-05;604.918;0.0278099;-4.63E-05;3.36E-08;-8.92E-12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5000;17;17;5;100
83;BAIXO IGUAÇU;0.009094;1;2;0.29;246.7161;0.1084496;-0.000335927;4.61E-07;0;240.3277;0.001750891;-3.32E-07;3.10E-11;-1.01E-15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2572;17;17;5;100
278;MANSO;0.008667;1;2;0.53;279.97;-0.010212;3.93E-06;-4.77E-10;2.03E-14;223.898;0.004570428;-4.20E-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3505;17;17;5;100
304;ITIQUIRA I;0.008806;1;2;4.31;412.031;0;0;0;0;320;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3700;17;17;5;100
305;ITIQUIRA II;0.008987;1;2;2.8;320.3407;0;0;0;0;178.707;0.0455774;-0.000317201;1.19E-06;-1.72E-09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8802;17;17;5;100
281;PONTE PEDRA;0.009151;1;2;2.49;394.8805;0;0;0;0;147.35;0.024646;-6.67E-05;9.44E-08;-4.82E-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5644;17;17;5;100
195;JAURU;0.008915;1;2;1.43;349.74;0.3067;0;0;0;248.44;-0.00891667;0.000180833;-8.33E-07;1.27E-09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5736;17;17;5;100
93;PASSO FUNDO;0.008926;1;1;2.95;580.3909;0.0221501;-1.41E-05;6.34E-09;-1.15E-12;335.0999;0.008166667;-5.67E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7191.8;17;17;5;100
94;MONJOLINHO;0.009025;1;2;1.7;174.9;3.587054;-0.03450381;0.000155392;-2.62E-07;264.9243;0.002269349;3.02E-07;-1.66E-10;1.76E-14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6141;17;17;5;100
89;GARIBALDI;0.009025;1;2;0.97;693.2867;0.03963221;0;0;0;659.9229;0.001509382;1.60E-08;-7.74E-11;1.45E-14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7234;17;17;5;100
95;QUEBRA-QUEIXO;0.008692;1;2;3.06;503.9448;0.541329;-0.00196869;3.09E-06;0;426.0178;0.008268859;-2.41E-05;3.49E-08;-1.81E-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10000;17;17;5;100
101;SÃO JOSÉ;0.008909;1;2;0.25;154.3212;0;0;0;0;130.6639;0.002290688;-2.35E-07;1.86E-11;-5.69E-16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53585;17;17;5;100
102;PASSO S. JOÃO;0.009064;1;2;0.32;118.5711;0.1861556;-0.001278737;3.84E-06;0;97.55073;0.006214246;-5.32E-06;3.54E-09;-9.31E-13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2990;17;17;5;10
103;FOZ DO CHAPECÓ;0.008865;1;2;1.38;244.7873;0.01345915;-1.93E-10;8.46E-14;-1.39E-17;210.7079;0.001545053;-1.59E-07;1.22E-11;-3.69E-16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2004.82;17;17;5;100
111;PASSO REAL;0.009221;1;1;1.34;293.938;0.0239738;-9.65E-06;2.30E-09;-2.12E-13;277.7998;0.005545858;-1.64E-06;2.81E-10;-1.68E-14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2004.82;17;17;5;100
112;JACUÍ;0.008731;1;1;2.73;277.767;0;0;0;0;181.37;0.005572077;-1.61E-06;2.84E-10;-1.81E-14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5000;17;17;5;100
113;ITAÚBA;0.009221;1;1;1.9;182.2269;0;0;0;0;91.92;0.005447879;-1.46E-06;1.93E-10;-9.65E-15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5000;17;17;5;100
114;DONA FRANCISCA;0.008633;1;2;0.4;93.61488;0;0;0;0;53.33249;0.00481084;-2.40E-06;8.99E-10;-1.26E-13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1944;17;17;5;10
97;CASTRO ALVES;0.009025;1;2;8;209.603;0.569508;-0.00410112;2.01E-05;-4.01E-08;136.528;0.0212832;-3.41E-05;2.88E-08;-9.14E-12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6755;17;17;5;100
98;MONTE CLARO;0.009025;1;2;4;135.7746;1.499699;-0.04863175;0.001086762;-1.04E-05;105.1246;0.003672752;-3.30E-07;2.04E-11;-4.99E-16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17360;17;17;5;100
99;14 DE JULHO;0.008922;1;2;0.73;79.667;0.9847667;-0.01495106;0.000118964;-3.55E-07;67.4415;0.005020536;-1.12E-06;1.44E-10;-6.93E-15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4999.5;17;17;5;100
215;SALTO PILÃO;0.009015;1;2;8.45;316.622;15.2326;-37.90088;66.25934;-43.31781;111.89;0.0069696;-7.06E-06;5.41E-09;-1.54E-12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11694;17;17;5;100
115;CAPIVARI-CACHOEIRA;0.008737;1;2;19.18;812.605;0.491744;-0.004011519;1.95E-05;-3.80E-08;90.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11570;17;17;5;100
217;ROSAL;0.008883;1;2;4.3;555.1763;0;0;0;0;359;0.105833;-0.00225;1.67E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62190;17;17;5;100
192;GUILMAN-AMORIM;0.008829;1;2;3.5;495;0;0;0;0;375.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1300.7;17;17;5;100
193;SÁ CARVALHO;0.008633;1;2;5.8;369.3412;0;0;0;0;255.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4674;17;17;5;10
139;CANDONGA;0.009074;1;2;0.4;284.1546;2.589469;-0.08329823;0.001446072;-9.41E-06;275.7;0.010298;-0.000012649;1.34E-08;-5.48E-12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5032;17;17;5;100
141;BAGUARI;0.008997;1;2;0.22;180.4456;0.173482;-0.001414506;0;0;164.9948;0.002079611;-2.61E-07;2.16E-11;-6.73E-16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7236;17;17;5;100
143;AIMORÉS;0.008961;1;2;0.36;79.90399;0.10317;-0.00048151;1.54E-06;-1.94E-09;58.937;0.0035098;-1.33E-06;3.14E-10;-2.83E-14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10614;17;17;5;100
144;MASCARENHAS;0.00898;1;2;0.19;60.7;0;0;0;0;36.89898;0.0028405;-1.92E-07;4.92E-12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5000;17;17;5;100
134;SALTO GRANDE;0.00826;1;1;6.06;354.217;0;0;0;0;254.286;0.000736265;1.38E-05;4.95E-07;-1.49E-09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14000;17;17;5;100
135;PORTO ESTRELA;0.008987;1;2;0.43;230.804;0.2717389;0;0;0;204;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17956;17;17;5;100
283;SANTA CLARA - MG;0.008663;1;2;0.59;85.68388;0;0;0;0;31.81369;0.00951352;-9.87E-06;7.39E-09;-2.07E-12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7612;17;17;5;100
148;IRAPÉ;0.008862;1;2;2.18;414.7691;0.03533041;-5.88E-06;5.82E-10;-2.34E-14;328.22;0.0219721;-0.000024763;1.39E-08;-2.92E-12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1014;17;17;5;100
154;ITAPEBI;0.008867;1;2;0.95;109.6532;0;0;0;0;26.89917;0.005322865;-2.76E-06;7.56E-10;-7.29E-14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;17;17;5;100
189;PEDRA DO CAVALO;0.008829;1;2;2.2;65.90313;0.03003821;-7.56E-06;1.17E-09;-7.57E-14;4.14481;0.005542674;-5.10E-06;2.87E-09;-6.08E-13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3070;17;17;5;100
155;RETIRO BAIXO;0.008755;1;1;3;591.5352;0.1642508;-0.000260711;0;0;577;0.006877187;-2.10E-06;3.63E-10;-2.36E-14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1840;17;17;5;100
162;QUEIMADO;0.008957;1;2;2.91;801.7885;0.1142334;-0.000197701;1.44E-07;-2.49E-17;636.2;0.03073;-0.00015531;5.08E-07;-6.10E-10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4800;17;17;5;100
190;BOA ESPERANÇA;0.008935;1;2;0.54;121.659;0.02458819;-7.45E-06;1.18E-09;-7.26E-14;115.7328;0.002838691;2.50E-07;-2.07E-10;5.21E-14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12798;17;17;5;100
252;CANA BRAVA;0.008927;1;2;0.9;332.5326;0;0;0;0;284.1099;0.004425596;-7.81E-07;6.62E-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13930;17;17;5;100
253;SÃO SALVADOR;0.009016;1;2;0.64;264.931;0.0688146;-0.00010134;7.70E-08;-2.19E-11;262.6807;3.63E-05;4.33E-07;-6.41E-11;2.98E-15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14500;17;17;5;100
257;PEIXE ANGICAL;0.00906;1;2;0.47;239.2818;0.0291567;-1.80E-05;5.66E-09;-6.61E-13;232.6799;0.001970203;-2.43E-07;1.93E-11;-5.89E-16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1500;17;17;5;100
310;DARDANELOS;0.008917;1;2;1.5;213.5;0;0;0;0;112.8697;0.003401237;1.30E-06;-7.16E-10;5.03E-14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6279;17;17;5;100
276;RONDON II;0.009215;1;2;3.8;261.1;0.0131;0.000007;-0.000000009;0;202.55;0.0267;-0.00006;0.00000007;-3.00E-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15000;17;17;5;100
196;GUAPORÉ;0.008901;1;2;1.57;479.1813;0;0;0;0;302.1528;0.07490116;-0.000465761;1.48E-06;-1.76E-09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7503;17;17;5;10
279;SAMUEL;0.009025;1;2;0.4;70.98963;0.01384873;-5.62E-06;1.23E-09;-1.05E-13;51.5524;0.01299401;-5.90E-06;1.84E-09;-2.95E-13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20915;17;17;5;100
277;BALBINA;0.008989;1;2;0.3;36.95247;0.001339282;-5.46E-08;1.45E-12;-1.55E-17;22.57763;0.007527882;-4.96E-06;2.01E-09;-3.01E-13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12000;17;17;5;100
286;SANTO ANTÔNIO JARI;0.009094;1;2;0.63;13.92494;0.3594691;-0.003450117;1.64E-05;-3.01E-08;1.512221;0.001441436;1.71E-08;-1.06E-11;5.90E-16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3486;17;17;5;100
227;SINOP;0.009103;1;2;0.31;281.8275;0.0129467;-3.37E-06;5.32E-10;-3.66E-14;271.9598;0.000958665;2.69E-07;-8.03E-11;6.30E-15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1959;17;17;5;100
228;COLÍDER;0.009153;1;2;0.35;254.5924;0.02454194;-1.85E-05;9.95E-09;-2.26E-12;245.9477;0.003512718;-6.25E-07;8.82E-11;-4.80E-15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10086;17;17;5;10
230;SÃO MANOEL;0.009153;1;2;0.27;143.7872;0.06943373;-0.000149384;2.05E-07;-1.14E-10;131.9748;0.00188051;-8.99E-08;5.69E-12;-1.45E-16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17500;17;17;5;100
272;CURUÁ-UNA;0.008633;1;2;0.2;21.39297;0.03364582;-4.01E-05;2.50E-08;-2.79E-12;9.345363;0.007753673;3.27E-06;-6.35E-09;2.82E-12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19300;17;17;5;100
204;CACHOEIRA CALDEIRÃO;0.009037;1;2;0.32;47.43975;0.09548884;-0.00033629;6.81E-07;-5.74E-10;42.12531;9.90E-05;1.06E-07;-7.85E-12;-9.91E-16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32913;17;17;5;100
280;COARACY NUNES;0.008927;1;2;0.18;30.55788;0.2514;-0.003157116;2.25E-05;-6.08E-08;21.30605;-0.000183728;6.69E-06;-8.33E-09;5.26E-12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5000;17;17;5;100
284;FERREIRA GOMES;0.009037;1;2;0.2;7.65071;0.1891085;-0.001132528;4.48E-06;-7.19E-09;1.76487;0.00124713;-1.47E-07;1.30E-11;-4.59E-16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10000;17;17;5;100
184;FONTES BC;0.00834;1;2;5.4;399;0;0;0;0;90.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10000;17;17;5;100
</END>;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
