<BEGIN>;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
<Equivalent units>;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Plant's ID;Plant's Name;Unit's ID;Minimum power output (MW);Maximum power output (MW);Ramp-up limit (MW/h);Ramp-down limit (MW/h);Minimum up-time (h);Minimum down-time (h);Transition ramp (MW/h);Bus;Constant cost ($);Start-up cost ($);Shut-down cost ($);Comments;Real units part of equivalent unit (units are separated by semicolons);;;;;;;;;;;;;;;;;;;
12;CUIABA G CC;1;145;245;50;50;72;24;99999;4596;0;0;0;;1;3;;;;;;;;;;;;;;;;;;
12;CUIABA G CC;2;145;245;50;50;72;24;99999;4597;0;0;0;;2;3;;;;;;;;;;;;;;;;;;
12;CUIABA G CC;3;310;490;50;50;72;24;99999;4596;0;0;0;;1;2;3;;;;;;;;;;;;;;;;;
21;MARANHAO V;1;200;337.6;50;50;120;48;99999;5648;0;0;0;;1;2;;;;;;;;;;;;;;;;;;
35;URUGUAIANA;1;180;250;70;90;168;0;99999;1164;0;0;0;;1;3;;;;;;;;;;;;;;;;;;
35;URUGUAIANA;2;180;250;70;90;168;0;99999;1164;0;0;0;;2;3;;;;;;;;;;;;;;;;;;
35;URUGUAIANA;3;360;500;100;220;168;0;99999;1165;0;0;0;;1;2;3;;;;;;;;;;;;;;;;;
36;MARANHAO IV;1;200;337.6;50;50;120;48;99999;5647;0;0;0;;1;2;;;;;;;;;;;;;;;;;;
42;FORTALEZA;1;150;160;50;50;96;24;99999;5654;0;0;0;;1;3;;;;;;;;;;;;;;;;;;
42;FORTALEZA;2;150;160;50;50;96;24;99999;5654;0;0;0;;2;3;;;;;;;;;;;;;;;;;;
42;FORTALEZA;3;260;327;50;50;96;24;99999;5655;0;0;0;;1;2;3;;;;;;;;;;;;;;;;;
46;N.VENECIA 2;1;110;178.21;50;50;120;48;99999;5650;0;0;0;;1;2;;;;;;;;;;;;;;;;;;
47;TERMORIO;1;270;330;50;50;82;48;99999;4203;0;0;0;;1;2;3;;;;;;;;;;;;;;;;;
47;TERMORIO;2;425;485;50;50;82;48;99999;4203;0;0;0;;1;2;3;4;6;;;;;;;;;;;;;;;
47;TERMORIO;3;425;485;50;50;82;48;99999;4204;0;0;0;;1;2;3;5;6;;;;;;;;;;;;;;;
47;TERMORIO;4;425;485;50;50;82;48;99999;4206;0;0;0;;1;2;3;7;9;;;;;;;;;;;;;;;
47;TERMORIO;5;425;485;50;50;82;48;99999;4206;0;0;0;;1;2;3;8;9;;;;;;;;;;;;;;;
47;TERMORIO;6;580;640;50;50;82;48;99999;4205;0;0;0;;1;2;3;4;5;6;;;;;;;;;;;;;;
47;TERMORIO;7;580;640;50;50;82;48;99999;4207;0;0;0;;1;2;3;7;8;9;;;;;;;;;;;;;;
47;TERMORIO;8;580;640;50;50;82;48;99999;4207;0;0;0;;1;2;3;4;6;7;9;;;;;;;;;;;;;
47;TERMORIO;9;580;640;50;50;82;48;99999;4208;0;0;0;;1;2;3;5;6;7;9;;;;;;;;;;;;;
47;TERMORIO;10;580;640;50;50;82;48;99999;4208;0;0;0;;1;2;3;4;6;8;9;;;;;;;;;;;;;
47;TERMORIO;11;580;640;50;50;82;48;99999;4208;0;0;0;;1;2;3;5;6;8;9;;;;;;;;;;;;;
47;TERMORIO;12;735;795;50;50;83;48;99999;4208;0;0;0;;1;2;3;4;5;6;7;9;;;;;;;;;;;;
47;TERMORIO;13;735;795;50;50;83;48;99999;4208;0;0;0;;1;2;3;4;5;6;8;9;;;;;;;;;;;;
47;TERMORIO;14;735;795;50;50;83;48;99999;4208;0;0;0;;1;2;3;4;6;7;8;9;;;;;;;;;;;;
47;TERMORIO;15;735;795;50;50;83;48;99999;4208;0;0;0;;1;2;3;5;6;7;8;9;;;;;;;;;;;;
47;TERMORIO;16;890;989.2;50;50;94;48;99999;4208;0;0;0;;1;2;3;4;5;6;7;8;9;;;;;;;;;;;
47;TERMORIO;17;155;155;50;50;82;48;99999;4208;0;0;0;;4;6;;;;;;;;;;;;;;;;;;
47;TERMORIO;18;155;155;50;50;82;48;99999;4208;0;0;0;;5;6;;;;;;;;;;;;;;;;;;
47;TERMORIO;19;155;155;50;50;82;48;99999;4208;0;0;0;;7;9;;;;;;;;;;;;;;;;;;
47;TERMORIO;20;155;155;50;50;82;48;99999;4208;0;0;0;;8;9;;;;;;;;;;;;;;;;;;
47;TERMORIO;21;310;310;50;50;82;48;99999;4208;0;0;0;;4;5;6;;;;;;;;;;;;;;;;;
47;TERMORIO;22;310;310;50;50;82;48;99999;4208;0;0;0;;7;8;9;;;;;;;;;;;;;;;;;
47;TERMORIO;23;310;310;50;50;82;48;99999;4208;0;0;0;;4;6;7;9;;;;;;;;;;;;;;;;
47;TERMORIO;24;310;310;50;50;82;48;99999;4208;0;0;0;;5;6;7;9;;;;;;;;;;;;;;;;
47;TERMORIO;25;310;310;50;50;82;48;99999;4208;0;0;0;;4;6;8;9;;;;;;;;;;;;;;;;
47;TERMORIO;26;310;310;50;50;82;48;99999;4208;0;0;0;;5;6;8;9;;;;;;;;;;;;;;;;
47;TERMORIO;27;465;465;50;50;83;48;99999;4208;0;0;0;;4;5;6;7;9;;;;;;;;;;;;;;;
47;TERMORIO;28;465;465;50;50;83;48;99999;4208;0;0;0;;4;5;6;8;9;;;;;;;;;;;;;;;
47;TERMORIO;29;465;465;50;50;83;48;99999;4208;0;0;0;;4;6;7;8;9;;;;;;;;;;;;;;;
47;TERMORIO;30;465;465;50;50;83;48;99999;4208;0;0;0;;5;6;7;8;9;;;;;;;;;;;;;;;
47;TERMORIO;31;620;620;50;50;86;48;99999;4208;0;0;0;;4;5;6;7;8;9;;;;;;;;;;;;;;
48;ARAUCARIA;1;235;235;99999;99999;72;43;99999;803;0;0;0;;1;3;;;;;;;;;;;;;;;;;;
48;ARAUCARIA;2;235;235;99999;99999;72;43;99999;802;0;0;0;;2;3;;;;;;;;;;;;;;;;;;
48;ARAUCARIA;3;351;484.15;50;50;72;43;99999;802;0;0;0;;1;2;3;;;;;;;;;;;;;;;;;
49;VIANA;1;96.03;130.95;50;50;6;2;8.73;8911;0;0;0;;1;2;3;4;;;;;;;;;;;;;;;;
49;VIANA;2;139.68;174.6;50;50;6;2;8.73;8911;0;0;0;;1;2;3;4;;;;;;;;;;;;;;;;
49;VIANA;3;8.73;43.65;50;50;6;2;8.73;8910;0;0;0;;1;2;3;4;;;;;;;;;;;;;;;;
49;VIANA;4;52.38;87.3;50;50;6;2;8.73;8910;0;0;0;;1;2;3;4;;;;;;;;;;;;;;;;
53;GLOBAL I;1;60;79.36;40;40;5;5;20;5820;0;0;0;;2;3;;;;;;;;;;;;;;;;;;
53;GLOBAL I;2;60;79.36;40;40;5;5;20;5820;0;0;0;;2;4;;;;;;;;;;;;;;;;;;
53;GLOBAL I;3;60;79.36;40;40;5;5;20;5820;0;0;0;;1;2;;;;;;;;;;;;;;;;;;
53;GLOBAL I;4;60;69.44;40;40;5;5;20;5820;0;0;0;;3;4;;;;;;;;;;;;;;;;;;
53;GLOBAL I;5;60;69.44;40;40;5;5;20;5820;0;0;0;;1;3;;;;;;;;;;;;;;;;;;
53;GLOBAL I;6;60;69.44;40;40;5;5;20;5820;0;0;0;;1;4;;;;;;;;;;;;;;;;;;
53;GLOBAL I;7;79.85;114.08;40;40;6;5;20;5820;0;0;0;;2;3;4;;;;;;;;;;;;;;;;;
53;GLOBAL I;8;79.85;114.08;40;40;6;5;20;5820;0;0;0;;1;2;3;;;;;;;;;;;;;;;;;
53;GLOBAL I;9;79.85;104.16;40;40;6;5;20;5820;0;0;0;;1;3;4;;;;;;;;;;;;;;;;;
53;GLOBAL I;10;79.85;114.08;40;40;6;5;20;5820;0;0;0;;1;2;4;;;;;;;;;;;;;;;;;
53;GLOBAL I;11;104.16;148.8;40;40;7;5;20;5820;0;0;0;;1;2;3;4;;;;;;;;;;;;;;;;
55;GLOBAL II;1;60;79.36;40;40;5;5;20;5823;0;0;0;;1;4;;;;;;;;;;;;;;;;;;
55;GLOBAL II;2;60;79.36;40;40;5;5;20;5823;0;0;0;;2;4;;;;;;;;;;;;;;;;;;
55;GLOBAL II;3;60;79.36;40;40;5;5;20;5823;0;0;0;;3;4;;;;;;;;;;;;;;;;;;
55;GLOBAL II;4;60;69.44;40;40;5;5;20;5823;0;0;0;;1;2;;;;;;;;;;;;;;;;;;
55;GLOBAL II;5;60;69.44;40;40;5;5;20;5823;0;0;0;;1;3;;;;;;;;;;;;;;;;;;
55;GLOBAL II;6;60;69.44;40;40;5;5;20;5823;0;0;0;;2;3;;;;;;;;;;;;;;;;;;
55;GLOBAL II;7;79.85;114.08;40;40;6;5;20;5823;0;0;0;;1;2;4;;;;;;;;;;;;;;;;;
55;GLOBAL II;8;79.85;114.08;40;40;6;5;20;5823;0;0;0;;1;3;4;;;;;;;;;;;;;;;;;
55;GLOBAL II;9;79.85;104.16;40;40;6;5;20;5823;0;0;0;;1;2;3;;;;;;;;;;;;;;;;;
55;GLOBAL II;10;79.85;114.08;40;40;6;5;20;5823;0;0;0;;2;3;4;;;;;;;;;;;;;;;;;
55;GLOBAL II;11;104.16;148.8;40;40;7;5;20;5823;0;0;0;;1;2;3;4;;;;;;;;;;;;;;;;
58;TERMOCEARA;1;40;52.3;99999;99999;5;6;99999;5660;0;0;0;;1;;;;;;;;;;;;;;;;;;;
58;TERMOCEARA;2;40;52.3;99999;99999;5;6;99999;5660;0;0;0;;2;;;;;;;;;;;;;;;;;;;
58;TERMOCEARA;3;40;52.3;99999;99999;5;6;99999;5660;0;0;0;;3;;;;;;;;;;;;;;;;;;;
58;TERMOCEARA;4;20;26.15;99999;99999;5;6;99999;5660;0;0;0;;4;;;;;;;;;;;;;;;;;;;
58;TERMOCEARA;5;80;104.6;99999;99999;5;6;99999;5660;0;0;0;;1;2;;;;;;;;;;;;;;;;;;
58;TERMOCEARA;6;80;104.6;99999;99999;5;6;99999;5660;0;0;0;;1;3;;;;;;;;;;;;;;;;;;
58;TERMOCEARA;7;60;78.45;99999;99999;5;6;99999;5660;0;0;0;;1;4;;;;;;;;;;;;;;;;;;
58;TERMOCEARA;8;80;104.6;99999;99999;5;6;99999;5660;0;0;0;;2;3;;;;;;;;;;;;;;;;;;
58;TERMOCEARA;9;60;78.45;99999;99999;5;6;99999;5660;0;0;0;;2;4;;;;;;;;;;;;;;;;;;
58;TERMOCEARA;10;60;78.45;99999;99999;5;6;99999;5660;0;0;0;;3;4;;;;;;;;;;;;;;;;;;
58;TERMOCEARA;11;120;156.9;99999;99999;5;6;99999;5660;0;0;0;;1;2;3;;;;;;;;;;;;;;;;;
58;TERMOCEARA;12;100;130.75;99999;99999;5;6;99999;5660;0;0;0;;1;2;4;;;;;;;;;;;;;;;;;
58;TERMOCEARA;13;100;130.75;99999;99999;5;6;99999;5660;0;0;0;;1;3;4;;;;;;;;;;;;;;;;;
58;TERMOCEARA;14;100;130.75;99999;99999;5;6;99999;5660;0;0;0;;2;3;4;;;;;;;;;;;;;;;;;
58;TERMOCEARA;15;140;183.05;99999;99999;5;6;99999;5660;0;0;0;;1;2;3;4;;;;;;;;;;;;;;;;
60;NORTEFLU;1;190;250;240;260;120;48;99999;3962;0;0;0;;1;4;;;;;;;;;;;;;;;;;;
60;NORTEFLU;2;190;250;240;260;120;48;99999;3962;0;0;0;;2;4;;;;;;;;;;;;;;;;;;
60;NORTEFLU;3;190;250;240;260;120;48;99999;3962;0;0;0;;3;4;;;;;;;;;;;;;;;;;;
60;NORTEFLU;4;390;520;240;260;120;48;99999;3963;0;0;0;;1;2;4;;;;;;;;;;;;;;;;;
60;NORTEFLU;5;390;520;240;260;120;48;99999;3963;0;0;0;;2;3;4;;;;;;;;;;;;;;;;;
60;NORTEFLU;6;390;520;240;260;120;48;99999;3963;0;0;0;;1;3;4;;;;;;;;;;;;;;;;;
60;NORTEFLU;7;600;826.78;240;260;120;48;99999;3963;0;0;0;;1;2;3;4;;;;;;;;;;;;;;;;
62;SEROPEDICA;1;35;45;80;80;5;6;99999;3974;0;0;0;;1;2;3;4;5;6;7;8;;;;;;;;;;;;
62;SEROPEDICA;2;70;90;80;80;5;6;99999;3974;0;0;0;;1;2;3;4;5;6;7;8;;;;;;;;;;;;
62;SEROPEDICA;3;105;135;80;80;5;6;99999;3974;0;0;0;;1;2;3;4;5;6;7;8;;;;;;;;;;;;
62;SEROPEDICA;4;140;180;80;80;5;6;99999;3974;0;0;0;;1;2;3;4;5;6;7;8;;;;;;;;;;;;
62;SEROPEDICA;5;175;225;80;80;6;6;99999;3974;0;0;0;;1;2;3;4;5;6;7;8;;;;;;;;;;;;
62;SEROPEDICA;6;210;270;80;80;6;6;99999;3974;0;0;0;;1;2;3;4;5;6;7;8;;;;;;;;;;;;
62;SEROPEDICA;7;245;315;80;80;6;6;99999;3974;0;0;0;;1;2;3;4;5;6;7;8;;;;;;;;;;;;
62;SEROPEDICA;8;280;360;80;80;6;6;99999;3974;0;0;0;;1;2;3;4;5;6;7;8;;;;;;;;;;;;
63;IBIRITE;1;226;226;99999;99999;83;48;99999;1585;0;0;0;;1;2;;;;;;;;;;;;;;;;;;
64;CANOAS;1;248.573;248.573;99999;99999;80;48;99999;1152;0;0;0;;1;2;;;;;;;;;;;;;;;;;;
68;TRES LAGOAS;1;90;90;99999;99999;81;48;99999;4300;0;0;0;;1;3;;;;;;;;;;;;;;;;;;
68;TRES LAGOAS;2;90;90;99999;99999;81;48;99999;4300;0;0;0;;2;3;;;;;;;;;;;;;;;;;;
68;TRES LAGOAS;3;90;90;99999;99999;81;48;99999;4300;0;0;0;;4;6;;;;;;;;;;;;;;;;;;
68;TRES LAGOAS;4;90;90;99999;99999;81;48;99999;4301;0;0;0;;5;6;;;;;;;;;;;;;;;;;;
68;TRES LAGOAS;5;180;180;99999;99999;85;48;99999;4301;0;0;0;;1;2;3;;;;;;;;;;;;;;;;;
68;TRES LAGOAS;6;180;180;99999;99999;85;48;99999;4301;0;0;0;;4;5;6;;;;;;;;;;;;;;;;;
68;TRES LAGOAS;7;180;180;99999;99999;85;48;99999;4302;0;0;0;;1;3;4;6;;;;;;;;;;;;;;;;
68;TRES LAGOAS;8;180;180;99999;99999;85;48;99999;4302;0;0;0;;2;3;4;6;;;;;;;;;;;;;;;;
68;TRES LAGOAS;9;180;180;99999;99999;85;48;99999;4302;0;0;0;;1;3;5;6;;;;;;;;;;;;;;;;
68;TRES LAGOAS;10;180;180;99999;99999;85;48;99999;4302;0;0;0;;2;3;5;6;;;;;;;;;;;;;;;;
68;TRES LAGOAS;11;270;270;99999;99999;88;48;99999;4302;0;0;0;;1;2;3;4;6;;;;;;;;;;;;;;;
68;TRES LAGOAS;12;270;270;99999;99999;88;48;99999;4302;0;0;0;;1;2;3;5;6;;;;;;;;;;;;;;;
68;TRES LAGOAS;13;270;270;99999;99999;88;48;99999;4302;0;0;0;;1;3;4;5;6;;;;;;;;;;;;;;;
68;TRES LAGOAS;14;270;270;99999;99999;88;48;99999;4302;0;0;0;;2;3;4;5;6;;;;;;;;;;;;;;;
68;TRES LAGOAS;15;350;350;99999;99999;94;48;99999;4302;0;0;0;;1;2;3;4;5;6;;;;;;;;;;;;;;
83;VALE DO ACU;1;110;155;99999;99999;26;48;99999;5466;0;0;0;;1;2;;;;;;;;;;;;;;;;;;
