<BEGIN>;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;VALE DO ACU;2;310;310;99999;99999;26;48;99999;5466;0;0;0;;1;2;;;;;;;;;;;;;;;;;;
90;TERMOMACAE;1;35;45;100;100;5;6;99999;3977;0;0;0;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
90;TERMOMACAE;2;70;90;100;100;5;6;99999;3977;0;0;0;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
90;TERMOMACAE;3;105;135;100;100;5;6;99999;3977;0;0;0;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
90;TERMOMACAE;4;140;180;100;100;5;6;99999;3977;0;0;0;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
90;TERMOMACAE;5;175;225;100;100;5;6;99999;3977;0;0;0;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
90;TERMOMACAE;6;210;270;100;100;6;6;99999;3977;0;0;0;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
90;TERMOMACAE;7;245;315;100;100;6;6;99999;3977;0;0;0;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
90;TERMOMACAE;8;280;360;100;100;6;6;99999;3977;0;0;0;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
90;TERMOMACAE;9;315;405;100;100;6;6;99999;3977;0;0;0;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
90;TERMOMACAE;10;350;450;100;100;6;6;99999;3977;0;0;0;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
90;TERMOMACAE;11;385;495;100;100;6;6;99999;3977;0;0;0;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
90;TERMOMACAE;12;420;540;100;100;6;6;99999;3977;0;0;0;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
90;TERMOMACAE;13;455;585;100;100;6;6;99999;3977;0;0;0;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
90;TERMOMACAE;14;490;630;100;100;6;6;99999;3977;0;0;0;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
90;TERMOMACAE;15;525;675;100;100;6;6;99999;3977;0;0;0;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
90;TERMOMACAE;16;560;720;100;100;7;6;99999;3977;0;0;0;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
90;TERMOMACAE;17;595;765;100;100;7;6;99999;3977;0;0;0;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
90;TERMOMACAE;18;630;810;100;100;7;6;99999;3977;0;0;0;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
90;TERMOMACAE;19;665;855;100;100;7;6;99999;3977;0;0;0;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
90;TERMOMACAE;20;700;900;100;100;7;6;99999;3977;0;0;0;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
96;TERMOPE;1;247;257;5;5;132;36;99999;5151;0;0;0;;1;3;;;;;;;;;;;;;;;;;;
96;TERMOPE;2;247;257;5;5;132;36;99999;5151;0;0;0;;2;3;;;;;;;;;;;;;;;;;;
96;TERMOPE;3;509;533;8;8;132;36;99999;5154;0;0;0;;1;2;3;;;;;;;;;;;;;;;;;
97;CUBATAO;1;110;216;99999;99999;84;48;99999;9101;0;0;0;;1;2;;;;;;;;;;;;;;;;;;
97;CUBATAO;2;25;48;99999;99999;84;48;99999;9100;0;0;0;;1;;;;;;;;;;;;;;;;;;;
97;CUBATAO;3;85;168;99999;99999;84;48;99999;9100;0;0;0;;2;;;;;;;;;;;;;;;;;;;
110;N.PIRATININ;1;140;140;99999;99999;168;48;99999;405;0;0;0;;1;5;;;;;;;;;;;;;;;;;;
110;N.PIRATININ;2;140;140;99999;99999;168;48;99999;405;0;0;0;;2;5;;;;;;;;;;;;;;;;;;
110;N.PIRATININ;3;140;140;99999;99999;168;48;99999;406;0;0;0;;3;6;;;;;;;;;;;;;;;;;;
110;N.PIRATININ;4;140;140;99999;99999;168;48;99999;406;0;0;0;;4;6;;;;;;;;;;;;;;;;;;
110;N.PIRATININ;5;280;280;99999;99999;168;48;99999;404;0;0;0;;1;3;5;6;;;;;;;;;;;;;;;;
110;N.PIRATININ;6;280;280;99999;99999;168;48;99999;404;0;0;0;;1;4;5;6;;;;;;;;;;;;;;;;
110;N.PIRATININ;7;280;280;99999;99999;168;48;99999;404;0;0;0;;2;3;5;6;;;;;;;;;;;;;;;;
110;N.PIRATININ;8;280;280;99999;99999;168;48;99999;404;0;0;0;;2;4;5;6;;;;;;;;;;;;;;;;
110;N.PIRATININ;9;280;280;99999;99999;168;48;99999;404;0;0;0;;1;2;5;;;;;;;;;;;;;;;;;
110;N.PIRATININ;10;280;280;99999;99999;168;48;99999;404;0;0;0;;3;4;6;;;;;;;;;;;;;;;;;
110;N.PIRATININ;11;420;420;99999;99999;168;48;99999;404;0;0;0;;1;2;4;5;6;;;;;;;;;;;;;;;
110;N.PIRATININ;12;420;420;99999;99999;168;48;99999;404;0;0;0;;1;2;3;5;6;;;;;;;;;;;;;;;
110;N.PIRATININ;13;420;420;99999;99999;168;48;99999;404;0;0;0;;1;3;4;5;6;;;;;;;;;;;;;;;
110;N.PIRATININ;14;420;420;99999;99999;168;48;99999;404;0;0;0;;2;3;4;5;6;;;;;;;;;;;;;;;
110;N.PIRATININ;15;554.939;554.939;99999;99999;168;48;99999;404;0;0;0;;1;2;3;4;5;6;;;;;;;;;;;;;;
112;CURUMIM;1;7;8.4;99999;99999;5;6;99999;5802;0;0;0;;1;2;3;;;;;;;;;;;;;;;;;
112;CURUMIM;2;14;16.8;99999;99999;5;6;99999;5802;0;0;0;;1;2;3;;;;;;;;;;;;;;;;;
112;CURUMIM;3;21;27;99999;99999;6;6;99999;5802;0;0;0;;1;2;3;;;;;;;;;;;;;;;;;
116;PARNAIBA IV;1;51;56.3;99999;99999;120;48;99999;5642;0;0;0;;1;2;3;;;;;;;;;;;;;;;;;
140;MAUA 3;1;379.1;583;360;360;48;0;105;8535;0;0;0;;1;2;3;;;;;;;;;;;;;;;;;
140;MAUA 3;2;120;276;240;240;48;0;105;8535;0;0;0;;1;3;;;;;;;;;;;;;;;;;;
140;MAUA 3;3;120;276;240;240;48;0;105;8538;0;0;0;;2;3;;;;;;;;;;;;;;;;;;
144;PETROLINA;1;15.2;16.5;99999;99999;8;6;99999;6314;0;0;0;;1;2;3;4;5;6;7;8;;;;;;;;;;;;
144;PETROLINA;2;30.4;33;99999;99999;8;6;99999;6314;0;0;0;;1;2;3;4;5;6;7;8;;;;;;;;;;;;
144;PETROLINA;3;45.6;49.5;99999;99999;8;6;99999;6314;0;0;0;;1;2;3;4;5;6;7;8;;;;;;;;;;;;
144;PETROLINA;4;60.8;66;99999;99999;8;6;99999;6314;0;0;0;;1;2;3;4;5;6;7;8;;;;;;;;;;;;
144;PETROLINA;5;76;82.5;99999;99999;8;6;99999;6314;0;0;0;;1;2;3;4;5;6;7;8;;;;;;;;;;;;
144;PETROLINA;6;91.2;99;99999;99999;8;6;99999;6314;0;0;0;;1;2;3;4;5;6;7;8;;;;;;;;;;;;
144;PETROLINA;7;106.4;115.5;99999;99999;8;6;99999;6314;0;0;0;;1;2;3;4;5;6;7;8;;;;;;;;;;;;
144;PETROLINA;8;121.6;132;99999;99999;8;6;99999;6314;0;0;0;;1;2;3;4;5;6;7;8;;;;;;;;;;;;
152;TERMOCABO;1;16.5;16.5;99999;99999;6;12;99999;5134;0;0;0;;1;2;3;;;;;;;;;;;;;;;;;
152;TERMOCABO;2;33;33;99999;99999;6;12;99999;5134;0;0;0;;1;2;3;;;;;;;;;;;;;;;;;
152;TERMOCABO;3;49;49;99999;99999;6;12;99999;5134;0;0;0;;1;2;3;;;;;;;;;;;;;;;;;
164;APOENA;1;12.5;18;99999;99999;5;4;99999;5764;0;0;0;;1;2;3;4;5;6;7;8;;;;;;;;;;;;
164;APOENA;2;25;36;99999;99999;5;4;99999;5764;0;0;0;;1;2;3;4;5;6;7;8;;;;;;;;;;;;
164;APOENA;3;37.5;54;99999;99999;5;4;99999;5764;0;0;0;;1;2;3;4;5;6;7;8;;;;;;;;;;;;
164;APOENA;4;50;72;99999;99999;5;4;99999;5764;0;0;0;;1;2;3;4;5;6;7;8;;;;;;;;;;;;
164;APOENA;5;62.5;90;99999;99999;7;6;99999;5764;0;0;0;;1;2;3;4;5;6;7;8;;;;;;;;;;;;
164;APOENA;6;75;108;99999;99999;7;6;99999;5764;0;0;0;;1;2;3;4;5;6;7;8;;;;;;;;;;;;
164;APOENA;7;87.5;126;99999;99999;7;6;99999;5764;0;0;0;;1;2;3;4;5;6;7;8;;;;;;;;;;;;
164;APOENA;8;100;147.155;99999;99999;7;6;99999;5764;0;0;0;;1;2;3;4;5;6;7;8;;;;;;;;;;;;
166;GUARANI;1;26.6;31.3;99999;99999;6;4;99999;5762;0;0;0;;1;2;3;4;;;;;;;;;;;;;;;;
166;GUARANI;2;53.2;62.6;99999;99999;7;6;99999;5762;0;0;0;;1;2;3;4;;;;;;;;;;;;;;;;
166;GUARANI;3;79.8;93.9;99999;99999;8;8;99999;5762;0;0;0;;1;2;3;4;;;;;;;;;;;;;;;;
166;GUARANI;4;106.4;125.2;99999;99999;9;10;99999;5762;0;0;0;;1;2;3;4;;;;;;;;;;;;;;;;
170;SUAPE II;1;22.427;22.427;99999;99999;5;0;99999;6021;0;0;0;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;;;
170;SUAPE II;2;44.854;44.854;99999;99999;5;0;99999;6021;0;0;0;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;;;
170;SUAPE II;3;67.281;67.281;99999;99999;6;0;99999;6021;0;0;0;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;;;
170;SUAPE II;4;89.708;89.708;99999;99999;6;0;99999;6022;0;0;0;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;;;
170;SUAPE II;5;112.135;112.135;99999;99999;6;0;99999;6022;0;0;0;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;;;
170;SUAPE II;6;134.562;134.562;99999;99999;6;0;99999;6022;0;0;0;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;;;
170;SUAPE II;7;156.989;156.989;99999;99999;6;0;99999;6023;0;0;0;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;;;
170;SUAPE II;8;179.416;179.416;99999;99999;6;0;99999;6023;0;0;0;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;;;
170;SUAPE II;9;201.843;201.843;99999;99999;6;0;99999;6023;0;0;0;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;;;
170;SUAPE II;10;224.27;224.27;99999;99999;7;0;99999;6024;0;0;0;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;;;
170;SUAPE II;11;246.697;246.697;99999;99999;7;0;99999;6024;0;0;0;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;;;
170;SUAPE II;12;269.124;269.124;99999;99999;7;0;99999;6024;0;0;0;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;;;
170;SUAPE II;13;291.551;291.551;99999;99999;7;0;99999;6025;0;0;0;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;;;
170;SUAPE II;14;313.978;313.978;99999;99999;7;0;99999;6025;0;0;0;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;;;
170;SUAPE II;15;336.405;336.405;99999;99999;7;0;99999;6025;0;0;0;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;;;
170;SUAPE II;16;358.832;358.832;99999;99999;7;0;99999;6026;0;0;0;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;;;
170;SUAPE II;17;381.259;381.259;99999;99999;8;0;99999;6026;0;0;0;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;;;
211;BAIXADA FLU;1;260;265;99999;99999;168;48;99999;9627;0;0;0;;1;3;;;;;;;;;;;;;;;;;;
211;BAIXADA FLU;2;260;265;99999;99999;168;48;99999;9627;0;0;0;;2;3;;;;;;;;;;;;;;;;;;
211;BAIXADA FLU;3;520;530;99999;99999;168;48;99999;9628;0;0;0;;1;2;3;;;;;;;;;;;;;;;;;
212;MARANHAO III;1;400;518.8;99999;99999;120;48;99999;5646;0;0;0;;1;2;3;;;;;;;;;;;;;;;;;
224;P. SERGIPE I;1;1593.199;1593.199;99999;99999;179;0;99999;5700;0;0;0;;1;2;3;4;;;;;;;;;;;;;;;;
224;P. SERGIPE I;2;1060;1060;99999;99999;177;0;99999;5700;0;0;0;;2;3;4;;;;;;;;;;;;;;;;;
224;P. SERGIPE I;3;1060;1060;99999;99999;177;0;99999;5700;0;0;0;;1;3;4;;;;;;;;;;;;;;;;;
224;P. SERGIPE I;4;1060;1060;99999;99999;177;0;99999;5800;0;0;0;;1;2;4;;;;;;;;;;;;;;;;;
224;P. SERGIPE I;5;514;514;99999;99999;175;0;99999;5700;0;0;0;;1;4;;;;;;;;;;;;;;;;;;
224;P. SERGIPE I;6;514;514;99999;99999;175;0;99999;5700;0;0;0;;2;4;;;;;;;;;;;;;;;;;;
224;P. SERGIPE I;7;514;514;99999;99999;175;0;99999;5700;0;0;0;;3;4;;;;;;;;;;;;;;;;;;
383;ATLANTICO;1;40;90;100;100;24;1;99999;9603;0;0;0;;1;;;;;;;;;;;;;;;;;;;
383;ATLANTICO;2;40;90;100;100;24;1;99999;9615;0;0;0;;2;;;;;;;;;;;;;;;;;;;
383;ATLANTICO;3;40;155;100;100;24;1;99999;9600;0;0;0;;3;;;;;;;;;;;;;;;;;;;
383;ATLANTICO;4;80;180;100;100;24;1;99999;9600;0;0;0;;1;2;;;;;;;;;;;;;;;;;;
383;ATLANTICO;5;80;295;100;100;24;1;99999;9600;0;0;0;;1;3;;;;;;;;;;;;;;;;;;
383;ATLANTICO;6;80;295;100;100;24;1;99999;9600;0;0;0;;2;3;;;;;;;;;;;;;;;;;;
383;ATLANTICO;7;120;455.7;100;100;24;1;99999;9600;0;0;0;;1;2;3;;;;;;;;;;;;;;;;;
137;GNA;1;1338.3;1338.3;99999;99999;176;0;99999;54;0;0;0;;1;2;3;4;;;;;;;;;;;;;;;;
</Equivalent units>;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
</END>;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
